upper_zone,middle_zone,lower_zone,median_width,most_occurring_angle,average_angle,stdev_angle
0.45081967213114754,0.27049180327868855,0.2786885245901639,11.0,54.0,47.2,9.5
0.34579439252336447,0.32710280373831774,0.32710280373831774,11.5,63.0,60.0,16.6
0.43089430894308944,0.2926829268292683,0.2764227642276423,13.0,58.5,50.2,12.3
0.3619047619047619,0.3238095238095238,0.3142857142857143,13.5,36.0,48.5,10.9
0.18823529411764706,0.4,0.4117647058823529,11.5,40.5,55.4,13.0
0.1267605633802817,0.5211267605633803,0.352112676056338,9,54.0,71.0,19.5
0.4174757281553398,0.30097087378640774,0.2815533980582524,21,112.5,112.2,4.5
0.3983050847457627,0.2627118644067797,0.3389830508474576,19.5,112.5,114.4,8.8
0.43119266055045874,0.28440366972477066,0.28440366972477066,14.0,112.5,112.1,4.2
0.4107142857142857,0.25892857142857145,0.33035714285714285,16.5,117.0,114.5,3.1
